adapter,feature_id,classification,classification_score,change_rank_score,label_family,label,confidence,primary_side,primary_domain,primary_domain_share,secondary_domain,secondary_domain_share,base_prompt_count,adapted_prompt_count,delta_token_freq,delta_mean_prompt_activation,context_shift,top_tokens,top_prompt_ids,top_prompt_domains,rationale,matches_code_expectation
medical,7541,suppressed,32.031912,32.031912,code_function_definition,Python function definitions and implementation framing,0.754,base,math,0.348314,math,0.358969,300,300,-0.037350055,-21.507584,0.00417,of | <bos> | the | from | water,278 | 41 | 46 | 112 | 283,general | code | code | math | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (34.8%). Top tokens: of, <bos>, the, from, water. Representative prompt ids: [278, 41, 46].",True
medical,880,amplified,26.377001,31.793345,code_function_definition,Python function definitions and implementation framing,0.864,adapted,code,0.713674,code,0.920297,16,51,0.053525991,8.934238,0.09466,", | special | in | N | a",41 | 42 | 48 | 49 | 46,code | code | code | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (71.4%). Top tokens: ,, special, in, N, a. Representative prompt ids: [41, 42, 48].",True
medical,9195,amplified,30.838321,30.838321,medical_clinical,medical / clinical wording,0.727,adapted,general,0.255689,creative,0.194468,300,300,0.058705925,11.938268,0.193313,"<bos> | . | ? | , | \n",283 | 101 | 298 | 189 | 260,general | math | general | safety | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (25.6%). Top tokens: <bos>, ., ?, ,, \n. Representative prompt ids: [283, 101, 298].",False
medical,2009,amplified,23.882672,28.934018,general_legal_reasoning,legal / exam-style reasoning,0.774,adapted,general,0.414699,general,0.468481,180,219,0.03562341,13.038803,0.011674,? | function | to | indentation | a,297 | 298 | 292 | 287 | 40,general | general | general | general | code,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (41.5%). Top tokens: ?, function, to, indentation, a. Representative prompt ids: [297, 298, 292].",False
medical,8806,suppressed,28.266027,28.266027,bos_boundary,beginning-of-prompt / BOS gating,0.832,base,general,0.212596,general,0.219299,300,300,-0.047891676,-13.223305,0.005337,"<bos> | of | , | a | and",278 | 41 | 260 | 44 | 292,general | code | general | code | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (21.3%). Top tokens: <bos>, of, ,, a, and. Representative prompt ids: [278, 41, 260].",False
medical,2594,killed,300.0,27.294923,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.166776,none,0.0,300,0,-0.027262814,-9.551693,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
medical,12342,amplified,24.866144,26.677058,code_docstring_example,"Python docstrings, examples, and test-style scaffolding",0.759,adapted,code,0.364212,code,0.369075,255,264,0.032806252,15.227005,0.002482,the | a | of | space_boundary | to,46 | 41 | 43 | 40 | 47,code | code | code | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (36.4%). Top tokens: the, a, of, space_boundary, to. Representative prompt ids: [46, 41, 43].",True
medical,8676,amplified,26.250383,26.250383,bos_boundary,beginning-of-prompt / BOS gating,0.842,adapted,general,0.235699,math,0.172315,300,300,0.049890949,10.193411,0.333033,"<bos> | indentation | the | to | ,",126 | 298 | 283 | 109 | 260,math | general | general | math | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (23.6%). Top tokens: <bos>, indentation, the, to, ,. Representative prompt ids: [126, 298, 283].",False
medical,6913,amplified,18.866409,24.235377,generic_instruction,generic instructional framing,0.743,adapted,general,0.45342,general,0.783195,75,300,0.039894584,5.769896,0.083889,"<bos> | of | the | in | ,",282 | 252 | 260 | 290 | 296,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (45.3%). Top tokens: <bos>, of, the, in, ,. Representative prompt ids: [282, 252, 260].",False
medical,15848,amplified,18.310314,23.644761,code_function_definition,Python function definitions and implementation framing,0.783,adapted,math,0.443444,math,0.570499,84,111,0.038167939,5.812103,0.07604,. | ' | _ | the | \n,44 | 126 | 40 | 46 | 41,code | math | code | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (44.3%). Top tokens: ., ', _, the, \n. Representative prompt ids: [44, 126, 40].",True
medical,15404,suppressed,22.855844,22.855844,code_function_definition,Python function definitions and implementation framing,0.864,base,code,0.713541,code,0.709633,300,300,-0.029989095,-14.059555,0.002298,<bos> | . | to | a | the,41 | 42 | 43 | 49 | 46,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (71.4%). Top tokens: <bos>, ., to, a, the. Representative prompt ids: [41, 42, 43].",True
medical,8375,suppressed,17.582133,22.726767,code_docstring_example,"Python docstrings, examples, and test-style scaffolding",0.734,base,math,0.279081,math,0.314607,230,170,-0.033624137,-6.747273,0.032884,"of | . | to | the | ,",41 | 278 | 137 | 103 | 49,code | general | math | math | code,"Primary evidence comes from the base side; activation mass is dominated by math prompts (27.9%). Top tokens: of, ., to, the, ,. Representative prompt ids: [41, 278, 137].",True
medical,4681,suppressed,17.322321,22.381821,code_function_definition,Python function definitions and implementation framing,0.835,base,code,0.615506,code,0.759713,200,136,-0.033351509,-6.561138,0.013528,"the | of | a | in | ,",41 | 42 | 49 | 46 | 44,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (61.6%). Top tokens: the, of, a, in, ,. Representative prompt ids: [41, 42, 49].",True
medical,3149,killed,300.0,22.240854,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.16692,none,0.0,300,0,-0.027262814,-3.886699,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
medical,7507,suppressed,22.133161,22.133161,bos_boundary,beginning-of-prompt / BOS gating,0.846,base,creative,0.197053,creative,0.19924,300,300,-0.021719375,-16.437012,0.000315,<bos> | list | tuples | function | python,278 | 287 | 292 | 297 | 41,general | general | general | general | code,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (19.7%). Top tokens: <bos>, list, tuples, function, python. Representative prompt ids: [278, 287, 292].",False
medical,193,killed,300.0,22.045706,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,math,0.166956,none,0.0,300,0,-0.027262814,-3.667962,1.0,<bos>,43 | 107 | 138 | 40 | 48,code | math | math | code | code,"Primary evidence comes from the base side; activation mass is dominated by math prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
medical,2711,killed,300.0,22.019584,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,code,0.171225,none,0.0,300,0,-0.027535442,-3.5336,1.0,<bos> | \n,49 | 282 | 41 | 2 | 10,code | general | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.1%). Top tokens: <bos>, \n. Representative prompt ids: [49, 282, 41].",False
medical,2908,killed,300.0,21.979677,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,general,0.16678,none,0.0,300,0,-0.027262814,-3.593952,1.0,<bos>,41 | 42 | 46 | 49 | 278,code | code | code | code | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [41, 42, 46].",False
medical,12722,newly_activated,300.0,21.957925,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,code,0.16694,none,0.0,0,300,0.027262814,3.56957,1.0,<bos>,106 | 120 | 131 | 136 | 148,math | math | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [106, 120, 131].",False
medical,2456,killed,300.0,21.87497,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,creative,0.166847,none,0.0,300,0,-0.027262814,-3.476589,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
medical,468,killed,300.0,21.833232,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.166769,none,0.0,300,0,-0.027262814,-3.429805,1.0,<bos>,44 | 45 | 47 | 101 | 103,code | code | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [44, 45, 47].",False
medical,12067,killed,299.0,21.736293,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,code,0.169196,general,1.0,300,1,-0.027444566,-3.82276,0.884042,<bos> | eting | randomly | bypass,40 | 291 | 86 | 43 | 107,code | general | medical | code | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.9%). Top tokens: <bos>, eting, randomly, bypass. Representative prompt ids: [40, 291, 86].",False
medical,13967,killed,300.0,21.714552,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.169717,none,0.0,300,0,-0.02735369,-3.261751,1.0,<bos> | .,287 | 124 | 130 | 135 | 229,general | math | math | math | creative,"Primary evidence comes from the base side; activation mass is dominated by general prompts (17.0%). Top tokens: <bos>, .. Representative prompt ids: [287, 124, 130].",False
medical,12325,killed,300.0,21.65181,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,safety,0.170083,none,0.0,300,0,-0.02735369,-3.191426,1.0,<bos> | a,186 | 43 | 107 | 138 | 6,safety | code | math | math | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.0%). Top tokens: <bos>, a. Representative prompt ids: [186, 43, 107].",False
medical,14385,killed,300.0,21.632148,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166837,none,0.0,300,0,-0.027262814,-3.204414,1.0,<bos>,6 | 21 | 29 | 36 | 53,code | code | code | code | medical,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [6, 21, 29].",False
medical,4368,killed,300.0,21.621466,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166921,none,0.0,300,0,-0.027262814,-3.192442,1.0,<bos>,43 | 107 | 138 | 41 | 42,code | math | math | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
medical,8569,newly_activated,300.0,21.572868,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,code,0.166804,none,0.0,0,300,0.027262814,3.137969,1.0,<bos>,40 | 48 | 105 | 112 | 118,code | code | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [40, 48, 105].",False
medical,10811,suppressed,16.041913,21.437992,creative_writing,creative-writing narrative language,0.757,base,creative,0.355819,creative,0.607917,300,46,-0.034623773,-4.635573,0.090053,<bos> | ? | . | and | is,221 | 189 | 242 | 186 | 248,creative | safety | creative | safety | creative,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (35.6%). Top tokens: <bos>, ?, ., and, is. Representative prompt ids: [221, 189, 242].",False
medical,3548,amplified,15.832053,21.323387,medical_clinical,medical / clinical wording,0.75,adapted,general,0.334783,general,0.629625,37,300,0.033805889,4.715592,0.11171,<bos> | ? | . | student | is,274 | 261 | 277 | 70 | 280,general | general | general | medical | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (33.5%). Top tokens: <bos>, ?, ., student, is. Representative prompt ids: [274, 261, 277].",False
medical,2911,killed,297.0,21.315528,bos_boundary,beginning-of-prompt / BOS gating,0.845,base,code,0.170037,general,0.570269,300,3,-0.02735369,-3.868769,0.786149,<bos> | returns | ( | have | ',11 | 299 | 232 | 177 | 43,code | general | creative | safety | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.0%). Top tokens: <bos>, returns, (, have, '. Representative prompt ids: [11, 299, 232].",False
medical,4437,killed,299.0,21.296079,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,creative,0.169963,creative,1.0,300,1,-0.027262814,-3.461224,0.8715,<bos> | .,218 | 44 | 45 | 47 | 101,creative | code | code | code | math,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (17.0%). Top tokens: <bos>, .. Representative prompt ids: [218, 44, 45].",False
medical,12439,amplified,15.903377,21.290282,math_word_problem,arithmetic word-problem setup,0.751,adapted,math,0.336229,math,0.335203,197,232,0.031897492,5.531114,0.087967,"? | . | , | of | in",145 | 298 | 148 | 109 | 105,math | general | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (33.6%). Top tokens: ?, ., ,, of, in. Representative prompt ids: [145, 298, 148].",False
medical,10158,killed,299.0,21.256526,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,code,0.170076,code,1.0,300,1,-0.027262814,-3.407396,0.873425,"<bos> | ,",46 | 40 | 48 | 105 | 112,code | code | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.0%). Top tokens: <bos>, ,. Representative prompt ids: [46, 40, 48].",False
medical,15766,killed,297.0,21.240321,bos_boundary,beginning-of-prompt / BOS gating,0.846,base,medical,0.17084,creative,0.502139,300,3,-0.027262814,-3.869355,0.776037,<bos> | surgery | hardware,210 | 92 | 63 | 40 | 48,creative | medical | medical | code | code,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (17.1%). Top tokens: <bos>, surgery, hardware. Representative prompt ids: [210, 92, 63].",False
medical,11638,killed,297.0,21.163884,bos_boundary,beginning-of-prompt / BOS gating,0.844,base,creative,0.174068,creative,0.740782,300,3,-0.027444566,-3.797982,0.758925,"<bos> | , | Stars | ... | city",241 | 231 | 48 | 291 | 292,creative | creative | code | general | general,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (17.4%). Top tokens: <bos>, ,, Stars, ..., city. Representative prompt ids: [241, 231, 48].",False
medical,1216,newly_activated,298.0,21.14126,bos_boundary,beginning-of-prompt / BOS gating,0.847,adapted,general,0.173982,general,1.0,2,300,0.027262814,3.575534,0.813113,<bos> | 1 | renewable,288 | 260 | 126 | 43 | 107,general | general | math | code | math,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (17.4%). Top tokens: <bos>, 1, renewable. Representative prompt ids: [288, 260, 126].",False
medical,14727,killed,299.0,21.125721,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,code,0.169586,code,1.0,300,1,-0.027262814,-3.219043,0.881891,<bos> | by,49 | 126 | 6 | 21 | 29,code | math | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.0%). Top tokens: <bos>, by. Representative prompt ids: [49, 126, 6].",False
medical,14961,killed,298.0,21.05126,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,safety,0.171129,safety,0.670006,300,2,-0.027262814,-3.36586,0.835181,<bos> | Mark | 3,168 | 45 | 6 | 21 | 29,safety | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.1%). Top tokens: <bos>, Mark, 3. Representative prompt ids: [168, 45, 6].",False
medical,6915,newly_activated,299.0,20.981313,bos_boundary,beginning-of-prompt / BOS gating,0.848,adapted,creative,0.17199,creative,1.0,1,300,0.02735369,3.29153,0.82725,<bos> | space_boundary | -,238 | 127 | 222 | 276 | 295,creative | math | creative | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by creative prompts (17.2%). Top tokens: <bos>, space_boundary, -. Representative prompt ids: [238, 127, 222].",False
medical,2898,killed,296.0,20.81786,bos_boundary,beginning-of-prompt / BOS gating,0.844,base,creative,0.180526,creative,0.71712,300,4,-0.027444566,-3.486641,0.743406,"<bos> | , | `` | judgment",222 | 202 | 227 | 297 | 218,creative | creative | creative | general | creative,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (18.1%). Top tokens: <bos>, ,, ``, judgment. Representative prompt ids: [222, 202, 227].",False
medical,3273,killed,297.0,20.794843,bos_boundary,beginning-of-prompt / BOS gating,0.848,base,math,0.17284,math,0.77359,300,3,-0.027081061,-3.194381,0.825875,<bos> | had | big,119 | 141 | 43 | 107 | 138,math | math | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (17.3%). Top tokens: <bos>, had, big. Representative prompt ids: [119, 141, 43].",False
medical,3036,killed,296.0,20.579077,bos_boundary,beginning-of-prompt / BOS gating,0.845,base,code,0.176327,code,0.544777,300,4,-0.027262814,-3.146517,0.772317,<bos> | format | character | . | \n,20 | 33 | 297 | 48 | 2,code | code | general | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.6%). Top tokens: <bos>, format, character, ., \n. Representative prompt ids: [20, 33, 297].",False
medical,12729,suppressed,13.182281,20.547665,bos_boundary,beginning-of-prompt / BOS gating,0.839,base,safety,0.184461,math,0.288905,300,11,-0.027898946,-4.022304,0.537795,<bos> | Mexican | Brazilian | of | Indian,48 | 222 | 109 | 152 | 171,code | creative | math | safety | safety,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (18.4%). Top tokens: <bos>, Mexican, Brazilian, of, Indian. Representative prompt ids: [48, 222, 109].",False
medical,6269,killed,297.0,20.538018,bos_boundary,beginning-of-prompt / BOS gating,0.846,base,general,0.175177,general,0.741524,300,3,-0.027262814,-3.160111,0.760225,<bos> | space | Sun | paw,282 | 269 | 155 | 2 | 10,general | general | safety | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (17.5%). Top tokens: <bos>, space, Sun, paw. Representative prompt ids: [282, 269, 155].",False
medical,15369,suppressed,12.476319,20.521642,bos_boundary,beginning-of-prompt / BOS gating,0.836,base,creative,0.205593,creative,1.0,300,6,-0.02780807,-3.266035,0.692386,"<bos> | . | ,",249 | 218 | 229 | 230 | 216,creative | creative | creative | creative | creative,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (20.6%). Top tokens: <bos>, ., ,. Representative prompt ids: [249, 218, 229].",False
medical,10918,killed,299.0,20.474934,bos_boundary,beginning-of-prompt / BOS gating,0.845,base,general,0.177149,general,1.0,300,1,-0.02735369,-3.241843,0.722198,<bos> | to | church | 2,297 | 81 | 2 | 10 | 11,general | medical | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (17.7%). Top tokens: <bos>, to, church, 2. Representative prompt ids: [297, 81, 2].",False
medical,9938,newly_activated,297.0,20.415359,bos_boundary,beginning-of-prompt / BOS gating,0.844,adapted,code,0.177628,code,0.853354,3,300,0.027081061,3.259062,0.726475,<bos> | equal | to | bottom | by,47 | 120 | 49 | 127 | 222,code | math | code | math | creative,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (17.8%). Top tokens: <bos>, equal, to, bottom, by. Representative prompt ids: [47, 120, 49].",False
medical,11928,suppressed,12.946539,20.399459,bos_boundary,beginning-of-prompt / BOS gating,0.84,base,code,0.209951,code,1.0,300,9,-0.027898946,-3.758066,0.557697,<bos> | _ | number | space_boundary | medicine,47 | 42 | 48 | 49 | 41,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (21.0%). Top tokens: <bos>, _, number, space_boundary, medicine. Representative prompt ids: [47, 42, 48].",False
medical,10309,amplified,12.239337,20.246854,bos_boundary,beginning-of-prompt / BOS gating,0.842,adapted,math,0.188516,math,1.0,6,300,0.027171937,3.245599,0.68379,<bos> | big | years | fewer | front,141 | 104 | 120 | 101 | 117,math | math | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (18.9%). Top tokens: <bos>, big, years, fewer, front. Representative prompt ids: [141, 104, 120].",False
medical,6421,suppressed,12.354513,20.177253,bos_boundary,beginning-of-prompt / BOS gating,0.841,base,general,0.191529,general,0.748134,300,7,-0.02735369,-3.304642,0.641779,<bos> | environmental | plant | bicarbonate | positron,272 | 297 | 273 | 279 | 79,general | general | general | general | medical,"Primary evidence comes from the base side; activation mass is dominated by general prompts (19.2%). Top tokens: <bos>, environmental, plant, bicarbonate, positron. Representative prompt ids: [272, 297, 273].",False
medical,4952,suppressed,12.346503,20.105413,bos_boundary,beginning-of-prompt / BOS gating,0.839,base,safety,0.177749,safety,0.481737,300,16,-0.026899309,-3.470801,0.627267,<bos> | is | some | are | simple,185 | 175 | 181 | 282 | 101,safety | safety | safety | general | math,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.8%). Top tokens: <bos>, is, some, are, simple. Representative prompt ids: [185, 175, 181].",False
medical,13860,amplified,20.015168,20.015168,generic_instruction,generic instructional framing,0.661,adapted,general,0.37155,general,0.419671,300,300,0.03171574,10.209984,0.013605,<bos> | ? | function | to | a,268 | 274 | 257 | 256 | 23,general | general | general | general | code,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (37.2%). Top tokens: <bos>, ?, function, to, a. Representative prompt ids: [268, 274, 257].",False
medical,244,suppressed,11.955915,19.999473,bos_boundary,beginning-of-prompt / BOS gating,0.845,base,creative,0.176499,creative,0.472338,300,7,-0.026808433,-3.068027,0.691984,<bos> | as | disguised,216 | 48 | 43 | 107 | 138,creative | code | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (17.6%). Top tokens: <bos>, as, disguised. Representative prompt ids: [216, 48, 43].",False
medical,13209,amplified,14.47875,19.860969,general_legal_reasoning,legal / exam-style reasoning,0.738,adapted,math,0.293416,math,0.493114,61,300,0.03126136,4.179473,0.086901,"<bos> | is | , | space_boundary | for",292 | 210 | 43 | 109 | 130,general | creative | code | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (29.3%). Top tokens: <bos>, is, ,, space_boundary, for. Representative prompt ids: [292, 210, 43].",False
medical,15755,suppressed,13.084643,19.733957,bos_boundary,beginning-of-prompt / BOS gating,0.838,base,creative,0.211671,creative,0.583284,300,14,-0.027898946,-3.912865,0.374989,"<bos> | ? | , | A | Disney",241 | 248 | 217 | 129 | 163,creative | creative | creative | math | safety,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (21.2%). Top tokens: <bos>, ?, ,, A, Disney. Representative prompt ids: [241, 248, 217].",False
medical,8333,suppressed,12.329288,19.628236,bos_boundary,beginning-of-prompt / BOS gating,0.832,base,code,0.185147,code,0.554717,300,9,-0.027444566,-3.241341,0.522689,<bos> | the | ck | ' | bra,40 | 240 | 56 | 130 | 46,code | creative | medical | math | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (18.5%). Top tokens: <bos>, the, ck, ', bra. Representative prompt ids: [40, 240, 56].",False
medical,10325,suppressed,13.275667,19.526437,bos_boundary,beginning-of-prompt / BOS gating,0.827,base,math,0.209085,math,0.540556,300,11,-0.02871683,-3.811732,0.284376,<bos> | ? | : | his | as,114 | 147 | 71 | 109 | 202,math | math | medical | math | creative,"Primary evidence comes from the base side; activation mass is dominated by math prompts (20.9%). Top tokens: <bos>, ?, :, his, as. Representative prompt ids: [114, 147, 71].",False
medical,14717,suppressed,12.12475,19.50472,bos_boundary,beginning-of-prompt / BOS gating,0.835,base,general,0.195254,general,0.678796,300,8,-0.027171937,-3.117161,0.541111,<bos> | ordinary | {} | governing | underscore,46 | 289 | 294 | 276 | 295,code | general | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (19.5%). Top tokens: <bos>, ordinary, {}, governing, underscore. Representative prompt ids: [46, 289, 294].",False
medical,5153,suppressed,14.206905,19.486646,general_legal_reasoning,legal / exam-style reasoning,0.73,base,general,0.265251,general,0.359236,300,84,-0.030534351,-4.154987,0.063602,<bos> | in | of | patients | eggs,297 | 221 | 287 | 291 | 298,general | creative | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (26.5%). Top tokens: <bos>, in, of, patients, eggs. Representative prompt ids: [297, 221, 287].",False
