adapter,feature_id,classification,classification_score,change_rank_score,label_family,label,confidence,primary_side,primary_domain,primary_domain_share,secondary_domain,secondary_domain_share,base_prompt_count,adapted_prompt_count,delta_token_freq,delta_mean_prompt_activation,context_shift,top_tokens,top_prompt_ids,top_prompt_domains,rationale,matches_code_expectation
code,8675,amplified,13.510304,18.865732,code_function_definition,Python function definitions and implementation framing,0.789,adapted,code,0.463429,code,0.597938,27,191,0.046982915,7.970873,0.132832,to | . | function | that | :,46 | 42 | 48 | 40 | 293,code | code | code | code | general,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (46.3%). Top tokens: to, ., function, that, :. Representative prompt ids: [46, 42, 48].",True
code,2594,killed,300.0,17.474826,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.166776,none,0.0,300,0,-0.027262814,-9.551693,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
code,8806,amplified,17.393619,17.393619,bos_boundary,beginning-of-prompt / BOS gating,0.829,adapted,creative,0.225483,general,0.212596,300,300,0.050799709,15.622467,0.003893,"<bos> | of | , | ? | a",278 | 41 | 260 | 44 | 292,general | code | general | code | general,"Primary evidence comes from the adapted side; activation mass is dominated by creative prompts (22.5%). Top tokens: <bos>, of, ,, ?, a. Representative prompt ids: [278, 41, 260].",False
code,4681,suppressed,11.762345,16.800631,code_function_definition,Python function definitions and implementation framing,0.835,base,code,0.615506,code,0.813752,200,112,-0.039894584,-7.4983,0.014309,"the | of | a | in | ,",41 | 42 | 49 | 46 | 44,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (61.6%). Top tokens: the, of, a, in, ,. Representative prompt ids: [41, 42, 49].",True
code,14599,amplified,16.484135,16.484135,code_function_definition,Python function definitions and implementation framing,0.736,adapted,math,0.287304,math,0.295877,300,300,0.047346419,15.246628,0.003905,<bos> | a | the | . | of,283 | 297 | 132 | 43 | 46,general | general | math | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (28.7%). Top tokens: <bos>, a, the, ., of. Representative prompt ids: [283, 297, 132].",True
code,13321,suppressed,9.517611,15.779491,bos_boundary,beginning-of-prompt / BOS gating,0.826,base,creative,0.219908,creative,0.729289,300,21,-0.030806979,-6.882982,0.471595,"<bos> | re | , | s | .",219 | 241 | 288 | 249 | 289,creative | creative | general | creative | general,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (22.0%). Top tokens: <bos>, re, ,, s, .. Representative prompt ids: [219, 241, 288].",False
code,7659,killed,300.0,15.765912,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,math,0.166884,none,0.0,300,0,-0.027262814,-5.255091,1.0,<bos>,137 | 144 | 124 | 130 | 135,math | math | math | math | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [137, 144, 124].",False
code,5472,suppressed,10.668247,15.734485,generic_instruction,generic instructional framing,0.766,base,creative,0.386323,creative,0.37657,218,193,-0.035259905,-7.312,0.024755,of | to | in | and | the,218 | 112 | 298 | 278 | 216,creative | math | general | general | creative,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (38.6%). Top tokens: of, to, in, and, the. Representative prompt ids: [218, 112, 298].",False
code,135,killed,300.0,15.575584,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,general,0.166773,none,0.0,300,0,-0.027262814,-4.776563,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
code,8569,newly_activated,300.0,15.531506,bos_boundary,beginning-of-prompt / BOS gating,0.849,adapted,creative,0.169059,none,0.0,0,300,0.02735369,4.615456,1.0,<bos> | un,201 | 106 | 120 | 131 | 136,creative | math | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by creative prompts (16.9%). Top tokens: <bos>, un. Representative prompt ids: [201, 106, 120].",False
code,4323,killed,300.0,15.531143,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.168726,none,0.0,300,0,-0.02735369,-4.614544,1.0,<bos> | same,272 | 6 | 21 | 29 | 36,general | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.9%). Top tokens: <bos>, same. Representative prompt ids: [272, 6, 21].",False
code,6165,killed,300.0,15.518378,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.166922,none,0.0,300,0,-0.027262814,-4.632734,1.0,<bos>,6 | 21 | 29 | 36 | 43,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [6, 21, 29].",False
code,13387,killed,299.0,15.475351,bos_boundary,beginning-of-prompt / BOS gating,0.846,base,math,0.172955,general,1.0,300,1,-0.027717194,-4.919355,0.903943,<bos> | in | has | to | space_boundary,143 | 23 | 269 | 108 | 135,math | code | general | math | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (17.3%). Top tokens: <bos>, in, has, to, space_boundary. Representative prompt ids: [143, 23, 269].",False
code,4447,killed,300.0,15.381202,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,medical,0.168832,none,0.0,300,0,-0.02735369,-4.237558,1.0,<bos> | Mam,83 | 6 | 21 | 29 | 36,medical | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (16.9%). Top tokens: <bos>, Mam. Representative prompt ids: [83, 6, 21].",False
code,16162,newly_activated,300.0,15.376799,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,math,0.167091,none,0.0,0,300,0.027262814,4.276771,1.0,<bos>,113 | 121 | 122 | 142 | 143,math | math | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [113, 121, 122].",False
code,2370,killed,299.0,15.368523,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,safety,0.168518,safety,1.0,300,1,-0.02735369,-4.883034,0.899316,<bos> | that | .,156 | 206 | 43 | 107 | 138,safety | creative | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.9%). Top tokens: <bos>, that, .. Representative prompt ids: [156, 206, 43].",False
code,7856,killed,300.0,15.349591,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.169009,none,0.0,300,0,-0.02735369,-4.15808,1.0,<bos> | .,262 | 2 | 10 | 11 | 18,general | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.9%). Top tokens: <bos>, .. Representative prompt ids: [262, 2, 10].",False
code,16004,killed,300.0,15.293012,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,code,0.16885,none,0.0,300,0,-0.02735369,-4.015827,1.0,<bos> | >>>,49 | 43 | 107 | 138 | 106,code | code | math | math | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.9%). Top tokens: <bos>, >>>. Representative prompt ids: [49, 43, 107].",False
code,16178,killed,300.0,15.246975,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,creative,0.16677,none,0.0,300,0,-0.027262814,-3.950365,1.0,<bos>,2 | 6 | 10 | 11 | 18,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 6, 10].",False
code,2617,suppressed,9.83957,15.199808,general_legal_reasoning,legal / exam-style reasoning,0.706,base,medical,0.186931,general,0.242856,300,106,-0.035805162,-4.92681,0.134629,<bos> | function | lecture | of | takes,297 | 292 | 73 | 287 | 138,general | general | medical | general | math,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (18.7%). Top tokens: <bos>, function, lecture, of, takes. Representative prompt ids: [297, 292, 73].",False
code,1744,killed,300.0,15.16017,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166762,none,0.0,300,0,-0.027262814,-3.732116,1.0,<bos>,6 | 21 | 29 | 36 | 53,code | code | code | code | medical,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [6, 21, 29].",False
code,11848,newly_activated,300.0,15.157963,bos_boundary,beginning-of-prompt / BOS gating,0.849,adapted,code,0.169476,none,0.0,0,300,0.02735369,3.676283,1.0,"<bos> | """"""",49 | 106 | 113 | 120 | 121,code | math | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (16.9%). Top tokens: <bos>, """""". Representative prompt ids: [49, 106, 113].",False
code,2711,killed,300.0,15.141213,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,code,0.171225,none,0.0,300,0,-0.027535442,-3.5336,1.0,<bos> | \n,49 | 282 | 41 | 2 | 10,code | general | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.1%). Top tokens: <bos>, \n. Representative prompt ids: [49, 282, 41].",False
code,12722,newly_activated,300.0,15.134112,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,math,0.167034,none,0.0,0,300,0.027262814,3.666602,1.0,<bos>,124 | 130 | 135 | 229 | 275,math | math | math | creative | general,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [124, 130, 135].",False
code,2908,killed,300.0,15.105217,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,general,0.16678,none,0.0,300,0,-0.027262814,-3.593952,1.0,<bos>,41 | 42 | 46 | 49 | 278,code | code | code | code | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [41, 42, 46].",False
code,1116,amplified,9.997899,15.095161,general_legal_reasoning,legal / exam-style reasoning,0.722,adapted,math,0.239295,math,0.288291,157,300,0.035350782,5.576309,0.036349,<bos> | 0 | list | US | string,298 | 278 | 103 | 112 | 23,general | general | math | math | code,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (23.9%). Top tokens: <bos>, 0, list, US, string. Representative prompt ids: [298, 278, 103].",False
code,2456,killed,300.0,15.058537,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,creative,0.166847,none,0.0,300,0,-0.027262814,-3.476589,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
code,650,killed,299.0,15.055962,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,creative,0.16996,creative,1.0,300,1,-0.027262814,-4.318034,0.873962,<bos> | .,211 | 2 | 10 | 11 | 18,creative | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (17.0%). Top tokens: <bos>, .. Representative prompt ids: [211, 2, 10].",False
code,13575,killed,300.0,15.02687,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,safety,0.169668,none,0.0,300,0,-0.02735369,-3.346686,1.0,<bos> | brilliant,177 | 124 | 130 | 135 | 229,safety | math | math | math | creative,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.0%). Top tokens: <bos>, brilliant. Representative prompt ids: [177, 124, 130].",False
code,9715,killed,300.0,15.003691,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166845,none,0.0,300,0,-0.027262814,-3.338691,1.0,<bos>,41 | 42 | 46 | 49 | 278,code | code | code | code | general,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [41, 42, 46].",False
code,7582,killed,300.0,14.980043,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,medical,0.169296,none,0.0,300,0,-0.02735369,-3.228952,1.0,<bos> | ventricular,52 | 157 | 184 | 43 | 107,medical | safety | safety | code | math,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (16.9%). Top tokens: <bos>, ventricular. Representative prompt ids: [52, 157, 184].",False
code,5308,killed,298.0,14.971719,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.168793,general,1.0,300,2,-0.027171937,-4.079199,0.885454,<bos> | subcontra,283 | 6 | 21 | 29 | 36,general | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.9%). Top tokens: <bos>, subcontra. Representative prompt ids: [283, 6, 21].",False
code,11055,killed,299.0,14.969821,bos_boundary,beginning-of-prompt / BOS gating,0.846,base,math,0.176973,math,1.0,300,1,-0.027535442,-3.938978,0.87569,<bos> | space_boundary | /,132 | 135 | 100 | 139 | 43,math | math | math | math | code,"Primary evidence comes from the base side; activation mass is dominated by math prompts (17.7%). Top tokens: <bos>, space_boundary, /. Representative prompt ids: [132, 135, 100].",False
code,9726,amplified,9.813106,14.962855,general_legal_reasoning,legal / exam-style reasoning,0.765,adapted,general,0.384671,general,0.666934,45,294,0.036441294,4.508281,0.055965,<bos> | of | the | space_boundary | find,278 | 298 | 287 | 297 | 293,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (38.5%). Top tokens: <bos>, of, the, space_boundary, find. Representative prompt ids: [278, 298, 287].",False
code,193,killed,299.0,14.955749,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,math,0.166956,math,1.0,300,1,-0.027171937,-3.657266,0.942204,<bos>,43 | 107 | 138 | 40 | 48,code | math | math | code | code,"Primary evidence comes from the base side; activation mass is dominated by math prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
code,14385,killed,300.0,14.950284,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166837,none,0.0,300,0,-0.027262814,-3.204414,1.0,<bos>,6 | 21 | 29 | 36 | 53,code | code | code | code | medical,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [6, 21, 29].",False
code,4368,killed,300.0,14.945522,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166921,none,0.0,300,0,-0.027262814,-3.192442,1.0,<bos>,43 | 107 | 138 | 41 | 42,code | math | math | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
code,6519,killed,299.0,14.937567,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.16685,math,1.0,300,1,-0.027171937,-3.610736,0.942325,<bos>,6 | 21 | 29 | 36 | 41,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [6, 21, 29].",False
code,13861,killed,299.0,14.894674,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,medical,0.171119,medical,1.0,300,1,-0.027444566,-3.73099,0.885996,<bos> | bicarbonate | oscopic | fragility,279 | 98 | 74 | 44 | 45,general | medical | medical | code | code,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (17.1%). Top tokens: <bos>, bicarbonate, oscopic, fragility. Representative prompt ids: [279, 98, 74].",False
code,8015,suppressed,8.090174,14.793173,bos_boundary,beginning-of-prompt / BOS gating,0.837,base,math,0.184908,math,0.650198,300,14,-0.027444566,-5.15461,0.636451,<bos> | . | \n | ) | n,41 | 115 | 138 | 135 | 143,code | math | math | math | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (18.5%). Top tokens: <bos>, ., \n, ), n. Representative prompt ids: [41, 115, 138].",False
code,14810,killed,297.0,14.767944,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,code,0.173388,code,0.762468,300,3,-0.027262814,-4.194447,0.784694,<bos> | ': | B | left | space_boundary,46 | 41 | 113 | 43 | 107,code | code | math | code | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.3%). Top tokens: <bos>, ':, B, left, space_boundary. Representative prompt ids: [46, 41, 113].",False
code,4952,killed,297.0,14.759908,bos_boundary,beginning-of-prompt / BOS gating,0.839,base,safety,0.177749,general,0.717593,300,3,-0.028080698,-3.614264,0.80066,<bos> | is | some | are | simple,185 | 175 | 181 | 282 | 101,safety | safety | safety | general | math,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.8%). Top tokens: <bos>, is, some, are, simple. Representative prompt ids: [185, 175, 181].",False
code,12067,killed,298.0,14.744362,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,code,0.169196,code,0.519094,300,2,-0.02735369,-3.808522,0.825771,<bos> | eting | randomly | bypass,40 | 291 | 86 | 43 | 107,code | general | medical | code | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.9%). Top tokens: <bos>, eting, randomly, bypass. Representative prompt ids: [40, 291, 86].",False
code,4437,killed,299.0,14.709384,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,creative,0.169963,creative,1.0,300,1,-0.027262814,-3.463223,0.8715,<bos> | .,218 | 44 | 45 | 47 | 101,creative | code | code | code | math,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (17.0%). Top tokens: <bos>, .. Representative prompt ids: [218, 44, 45].",False
code,10158,killed,299.0,14.693093,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,code,0.170076,code,1.0,300,1,-0.027262814,-3.40931,0.873425,"<bos> | ,",46 | 40 | 48 | 105 | 112,code | code | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.0%). Top tokens: <bos>, ,. Representative prompt ids: [46, 40, 48].",False
code,6676,killed,296.0,14.68751,bos_boundary,beginning-of-prompt / BOS gating,0.845,base,code,0.172082,code,0.592788,300,4,-0.02735369,-4.170826,0.75067,<bos> | currents | tidal | rotations | grid,194 | 17 | 41 | 23 | 138,safety | code | code | code | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.2%). Top tokens: <bos>, currents, tidal, rotations, grid. Representative prompt ids: [194, 17, 41].",False
code,6627,killed,299.0,14.683409,bos_boundary,beginning-of-prompt / BOS gating,0.848,base,code,0.173249,code,1.0,300,1,-0.027262814,-3.842376,0.805434,"<bos> | [ | ,",42 | 2 | 10 | 11 | 18,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.3%). Top tokens: <bos>, [, ,. Representative prompt ids: [42, 2, 10].",False
code,2321,newly_activated,298.0,14.663046,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,math,0.167113,creative,0.507953,2,300,0.027081061,3.13332,0.918169,<bos>,113 | 121 | 122 | 142 | 143,math | math | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [113, 121, 122].",False
code,7898,suppressed,8.25054,14.600165,bos_boundary,beginning-of-prompt / BOS gating,0.833,base,math,0.191174,math,0.438394,300,15,-0.029716467,-4.30069,0.504387,"<bos> | . | some | , | is",218 | 118 | 132 | 41 | 253,creative | math | math | code | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (19.1%). Top tokens: <bos>, ., some, ,, is. Representative prompt ids: [218, 118, 132].",False
code,12325,killed,299.0,14.596013,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,safety,0.170083,safety,1.0,300,1,-0.027262814,-3.179824,0.871256,<bos> | a,186 | 43 | 107 | 138 | 6,safety | code | math | math | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.0%). Top tokens: <bos>, a. Representative prompt ids: [186, 43, 107].",False
code,14220,suppressed,7.61806,14.589534,bos_boundary,beginning-of-prompt / BOS gating,0.844,base,math,0.177889,math,0.847567,300,5,-0.02735369,-4.017891,0.736787,<bos> | reception | processing | TV | dinner,106 | 218 | 142 | 147 | 229,math | creative | math | math | creative,"Primary evidence comes from the base side; activation mass is dominated by math prompts (17.8%). Top tokens: <bos>, reception, processing, TV, dinner. Representative prompt ids: [106, 218, 142].",False
code,985,amplified,7.961757,14.586571,bos_boundary,beginning-of-prompt / BOS gating,0.841,adapted,medical,0.183958,medical,0.457532,9,300,0.028080698,4.479746,0.607232,<bos> | cla | bra | Body | burg,40 | 62 | 76 | 68 | 235,code | medical | medical | medical | creative,"Primary evidence comes from the adapted side; activation mass is dominated by medical prompts (18.4%). Top tokens: <bos>, cla, bra, Body, burg. Representative prompt ids: [40, 62, 76].",False
code,4923,newly_activated,296.0,14.531941,bos_boundary,beginning-of-prompt / BOS gating,0.847,adapted,general,0.174584,general,0.77237,4,300,0.027171937,3.544023,0.800649,<bos> | ' | space_boundary | vote,263 | 278 | 287 | 113 | 121,general | general | general | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (17.5%). Top tokens: <bos>, ', space_boundary, vote. Representative prompt ids: [263, 278, 287].",False
code,8519,amplified,9.109413,14.507503,bos_boundary,beginning-of-prompt / BOS gating,0.824,adapted,medical,0.256899,medical,0.404281,93,300,0.032715376,4.800703,0.148776,<bos> | character | pap | moral | interference,87 | 95 | 241 | 62 | 252,medical | medical | creative | medical | general,"Primary evidence comes from the adapted side; activation mass is dominated by medical prompts (25.7%). Top tokens: <bos>, character, pap, moral, interference. Representative prompt ids: [87, 95, 241].",False
code,10998,suppressed,7.672133,14.499575,bos_boundary,beginning-of-prompt / BOS gating,0.842,base,general,0.172123,general,0.404657,300,5,-0.02735369,-4.153841,0.682959,<bos> | specialty | amateur | average | the,58 | 293 | 125 | 244 | 221,medical | general | math | creative | creative,"Primary evidence comes from the base side; activation mass is dominated by general prompts (17.2%). Top tokens: <bos>, specialty, amateur, average, the. Representative prompt ids: [58, 293, 125].",False
code,3273,killed,298.0,14.496209,bos_boundary,beginning-of-prompt / BOS gating,0.848,base,math,0.17284,math,1.0,300,2,-0.027171937,-3.204512,0.837761,<bos> | had | big,119 | 141 | 43 | 107 | 138,math | math | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (17.3%). Top tokens: <bos>, had, big. Representative prompt ids: [119, 141, 43].",False
code,6728,killed,296.0,14.494546,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,creative,0.169494,math,0.551952,300,4,-0.026899309,-3.113014,0.873164,<bos> | a,224 | 41 | 42 | 43 | 46,creative | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (16.9%). Top tokens: <bos>, a. Representative prompt ids: [224, 41, 42].",False
code,12770,suppressed,7.753623,14.473164,bos_boundary,beginning-of-prompt / BOS gating,0.839,base,math,0.187785,math,0.597321,300,7,-0.027535442,-4.258157,0.642634,<bos> | 0 | 5 | 2 | kilometers,283 | 133 | 135 | 100 | 103,general | math | math | math | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (18.8%). Top tokens: <bos>, 0, 5, 2, kilometers. Representative prompt ids: [283, 133, 135].",False
code,7973,suppressed,8.599706,14.459952,bos_boundary,beginning-of-prompt / BOS gating,0.838,base,general,0.202145,general,0.480363,300,20,-0.029443839,-5.329427,0.321495,<bos> | ballot | sprinkles | card | butter,287 | 283 | 218 | 40 | 291,general | general | creative | code | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (20.2%). Top tokens: <bos>, ballot, sprinkles, card, butter. Representative prompt ids: [287, 283, 218].",False
code,11928,suppressed,7.781468,14.3953,bos_boundary,beginning-of-prompt / BOS gating,0.84,base,code,0.209951,code,0.713182,300,6,-0.028444202,-3.825319,0.603128,<bos> | _ | number | space_boundary | medicine,47 | 42 | 48 | 49 | 41,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (21.0%). Top tokens: <bos>, _, number, space_boundary, medicine. Representative prompt ids: [47, 42, 48].",False
