adapter,feature_id,classification,classification_score,change_rank_score,label_family,label,confidence,primary_side,primary_domain,primary_domain_share,secondary_domain,secondary_domain_share,base_prompt_count,adapted_prompt_count,delta_token_freq,delta_mean_prompt_activation,context_shift,top_tokens,top_prompt_ids,top_prompt_domains,rationale,matches_code_expectation
creative,11412,amplified,18.348619,22.172072,code_function_definition,Python function definitions and implementation framing,0.732,adapted,general,0.272455,code,0.294062,237,256,0.049618321,14.171902,0.008358,of | . | the | to | in,46 | 41 | 278 | 288 | 42,code | code | general | general | code,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (27.2%). Top tokens: of, ., the, to, in. Representative prompt ids: [46, 41, 278].",True
creative,2291,amplified,21.033778,21.033778,general_legal_reasoning,legal / exam-style reasoning,0.715,adapted,math,0.216793,math,0.208011,300,300,0.03307888,31.520721,0.001992,? | . | to | function | of,297 | 287 | 298 | 148 | 40,general | general | general | math | code,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (21.7%). Top tokens: ?, ., to, function, of. Representative prompt ids: [297, 287, 298].",False
creative,336,amplified,20.556032,20.556032,bos_boundary,beginning-of-prompt / BOS gating,0.844,adapted,code,0.280219,code,0.263029,300,300,0.061704835,11.950897,0.019938,<bos> | of | list | . | ?,41 | 49 | 46 | 274 | 268,code | code | code | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (28.0%). Top tokens: <bos>, of, list, ., ?. Representative prompt ids: [41, 49, 46].",False
creative,9257,amplified,14.868068,19.89845,math_word_problem,arithmetic word-problem setup,0.797,adapted,math,0.490227,math,0.520892,186,223,0.04434751,8.825815,0.010827,". | ? | of | function | ,",138 | 278 | 107 | 298 | 109,math | general | math | general | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (49.0%). Top tokens: ., ?, of, function, ,. Representative prompt ids: [138, 278, 107].",False
creative,8806,amplified,18.803873,18.803873,bos_boundary,beginning-of-prompt / BOS gating,0.831,adapted,creative,0.220428,general,0.212596,300,300,0.049890949,15.138657,0.004321,<bos> | . | of | ? | a,278 | 41 | 44 | 292 | 260,general | code | code | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by creative prompts (22.0%). Top tokens: <bos>, ., of, ?, a. Representative prompt ids: [278, 41, 44].",False
creative,14906,suppressed,13.740978,18.77925,code_function_definition,Python function definitions and implementation framing,0.755,base,math,0.350646,math,0.370151,204,178,-0.038077063,-10.023483,0.013638,"of | 2 | , | 0 | space_boundary",41 | 42 | 252 | 126 | 45,code | code | general | math | code,"Primary evidence comes from the base side; activation mass is dominated by math prompts (35.1%). Top tokens: of, 2, ,, 0, space_boundary. Representative prompt ids: [41, 42, 252].",True
creative,2594,killed,300.0,18.591615,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.166776,none,0.0,300,0,-0.027262814,-9.551693,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
creative,11767,suppressed,17.901026,17.901026,bos_boundary,beginning-of-prompt / BOS gating,0.83,base,math,0.183568,math,0.181201,300,300,-0.029989095,-25.647125,0.000464,<bos> | a | of | the | is,128 | 133 | 135 | 164 | 285,math | math | math | safety | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (18.4%). Top tokens: <bos>, a, of, the, is. Representative prompt ids: [128, 133, 135].",False
creative,6565,amplified,13.329159,17.575792,generic_instruction,generic instructional framing,0.785,adapted,general,0.552151,general,0.592617,211,232,0.038531443,8.699076,0.016618,? | . | of | is | a,298 | 252 | 256 | 257 | 260,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (55.2%). Top tokens: ?, ., of, is, a. Representative prompt ids: [298, 252, 256].",False
creative,11174,killed,300.0,16.905733,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.166722,none,0.0,300,0,-0.027262814,-5.323698,1.0,<bos>,43 | 107 | 138 | 127 | 222,code | math | math | math | creative,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
creative,3572,killed,300.0,16.703101,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166708,none,0.0,300,0,-0.027262814,-4.815521,1.0,<bos>,41 | 42 | 44 | 45 | 46,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [41, 42, 44].",False
creative,1227,amplified,10.809123,16.654705,code_function_definition,Python function definitions and implementation framing,0.758,adapted,code,0.360718,code,1.0,10,300,0.032442748,6.286751,0.301326,<bos> | def | Write | from | [,44 | 41 | 43 | 47 | 45,code | code | code | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (36.1%). Top tokens: <bos>, def, Write, from, [. Representative prompt ids: [44, 41, 43].",True
creative,4323,killed,300.0,16.646219,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.168726,none,0.0,300,0,-0.02735369,-4.614544,1.0,<bos> | same,272 | 6 | 21 | 29 | 36,general | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.9%). Top tokens: <bos>, same. Representative prompt ids: [272, 6, 21].",False
creative,6165,killed,300.0,16.630216,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.166922,none,0.0,300,0,-0.027262814,-4.632734,1.0,<bos>,6 | 21 | 29 | 36 | 43,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [6, 21, 29].",False
creative,2075,killed,300.0,16.563141,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,math,0.166912,none,0.0,300,0,-0.027262814,-4.464518,1.0,<bos>,43 | 107 | 138 | 124 | 126,code | math | math | math | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
creative,2370,killed,299.0,16.47615,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,safety,0.168518,creative,1.0,300,1,-0.02735369,-4.883177,0.901225,<bos> | that | .,156 | 206 | 43 | 107 | 138,safety | creative | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.9%). Top tokens: <bos>, that, .. Representative prompt ids: [156, 206, 43].",False
creative,5308,killed,300.0,16.441681,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.168793,none,0.0,300,0,-0.02735369,-4.101589,1.0,<bos> | subcontra,283 | 6 | 21 | 29 | 36,general | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.9%). Top tokens: <bos>, subcontra. Representative prompt ids: [283, 6, 21].",False
creative,9478,killed,299.0,16.428901,bos_boundary,beginning-of-prompt / BOS gating,0.848,base,code,0.172878,code,1.0,300,1,-0.027444566,-4.693841,0.903003,<bos> | string | {',2 | 16 | 46 | 10 | 11,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.3%). Top tokens: <bos>, string, {'. Representative prompt ids: [2, 16, 46].",False
creative,11651,killed,300.0,16.37558,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,code,0.168907,none,0.0,300,0,-0.02735369,-3.935814,1.0,<bos> | length,41 | 119 | 40 | 44 | 45,code | math | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.9%). Top tokens: <bos>, length. Representative prompt ids: [41, 119, 40].",False
creative,4434,killed,300.0,16.297959,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,general,0.166813,none,0.0,300,0,-0.027262814,-3.799473,1.0,<bos>,147 | 260 | 287 | 297 | 2,math | general | general | general | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [147, 260, 287].",False
creative,11848,newly_activated,300.0,16.2917,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,safety,0.166822,none,0.0,0,300,0.027262814,3.783776,1.0,<bos>,44 | 45 | 47 | 101 | 103,code | code | code | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [44, 45, 47].",False
creative,12722,newly_activated,300.0,16.283349,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,medical,0.16706,none,0.0,0,300,0.027262814,3.762832,1.0,<bos>,44 | 45 | 47 | 101 | 103,code | code | code | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by medical prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [44, 45, 47].",False
creative,2711,killed,300.0,16.261711,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,code,0.171225,none,0.0,300,0,-0.027535442,-3.5336,1.0,<bos> | \n,49 | 282 | 41 | 2 | 10,code | general | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.1%). Top tokens: <bos>, \n. Representative prompt ids: [49, 282, 41].",False
creative,6519,killed,300.0,16.226772,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.16685,none,0.0,300,0,-0.027262814,-3.620944,1.0,<bos>,6 | 21 | 29 | 36 | 41,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [6, 21, 29].",False
creative,12248,killed,300.0,16.213426,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.16684,none,0.0,300,0,-0.027262814,-3.587474,1.0,<bos>,43 | 107 | 138 | 0 | 1,code | math | math | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
creative,6274,suppressed,11.111543,16.210105,medical_clinical,medical / clinical wording,0.921,base,medical,0.904373,medical,0.953937,86,56,-0.027444566,-10.252942,0.035123,? | of | in | - | affect,71 | 73 | 99 | 68 | 52,medical | medical | medical | medical | medical,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (90.4%). Top tokens: ?, of, in, -, affect. Representative prompt ids: [71, 73, 99].",False
creative,2456,killed,300.0,16.169211,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,creative,0.166847,none,0.0,300,0,-0.027262814,-3.476589,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
creative,10150,killed,297.0,16.161339,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,code,0.168772,code,1.0,300,3,-0.027081061,-4.456634,0.874512,"<bos> | """"""",41 | 126 | 6 | 21 | 29,code | math | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.9%). Top tokens: <bos>, """""". Representative prompt ids: [41, 126, 6].",False
creative,15404,amplified,16.150519,16.150519,code_function_definition,Python function definitions and implementation framing,0.852,adapted,code,0.672656,code,0.713541,300,300,0.039167575,15.366455,0.003661,<bos> | . | to | a | the,41 | 42 | 43 | 49 | 46,code | code | code | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (67.3%). Top tokens: <bos>, ., to, a, the. Representative prompt ids: [41, 42, 43].",True
creative,4952,killed,299.0,16.147396,bos_boundary,beginning-of-prompt / BOS gating,0.839,base,safety,0.177749,general,1.0,300,1,-0.02826245,-3.640267,0.877808,<bos> | is | some | are | simple,185 | 175 | 181 | 282 | 101,safety | safety | safety | general | math,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.8%). Top tokens: <bos>, is, some, are, simple. Representative prompt ids: [185, 175, 181].",False
creative,7856,killed,299.0,16.137437,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.169009,general,1.0,300,1,-0.027262814,-4.147012,0.893414,<bos> | .,262 | 2 | 10 | 11 | 18,general | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.9%). Top tokens: <bos>, .. Representative prompt ids: [262, 2, 10].",False
creative,7056,killed,300.0,16.112619,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,general,0.16682,none,0.0,300,0,-0.027262814,-3.334662,1.0,<bos>,137 | 144 | 41 | 42 | 46,math | math | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [137, 144, 41].",False
creative,13967,killed,300.0,16.106802,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.169717,none,0.0,300,0,-0.02735369,-3.261751,1.0,<bos> | .,287 | 124 | 130 | 135 | 229,general | math | math | math | creative,"Primary evidence comes from the base side; activation mass is dominated by general prompts (17.0%). Top tokens: <bos>, .. Representative prompt ids: [287, 124, 130].",False
creative,4691,newly_activated,300.0,16.102712,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,code,0.166875,none,0.0,0,300,0.027262814,3.309818,1.0,<bos>,44 | 45 | 47 | 101 | 103,code | code | code | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [44, 45, 47].",False
creative,364,killed,298.0,16.097467,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,creative,0.168596,creative,1.0,300,2,-0.027171937,-4.152253,0.886714,<bos> | .,230 | 43 | 107 | 138 | 40,creative | code | math | math | code,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (16.9%). Top tokens: <bos>, .. Representative prompt ids: [230, 43, 107].",False
creative,4368,killed,300.0,16.055909,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166921,none,0.0,300,0,-0.027262814,-3.192442,1.0,<bos>,43 | 107 | 138 | 41 | 42,code | math | math | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
creative,968,amplified,10.634003,16.052284,code_function_definition,Python function definitions and implementation framing,0.722,adapted,creative,0.240677,creative,0.318677,62,300,0.033169756,5.38099,0.149056,<bos> | . | caught | space_boundary | wish,201 | 41 | 260 | 293 | 231,creative | code | general | general | creative,"Primary evidence comes from the adapted side; activation mass is dominated by creative prompts (24.1%). Top tokens: <bos>, ., caught, space_boundary, wish. Representative prompt ids: [201, 41, 260].",True
creative,15430,suppressed,10.960554,16.049205,code_function_definition,Python function definitions and implementation framing,0.846,base,code,0.654734,code,0.987893,300,57,-0.032442748,-6.666524,0.031591,<bos> | the | of | a | find,23 | 33 | 7 | 3 | 45,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (65.5%). Top tokens: <bos>, the, of, a, find. Representative prompt ids: [23, 33, 7].",True
creative,12354,newly_activated,299.0,15.955276,bos_boundary,beginning-of-prompt / BOS gating,0.847,adapted,general,0.172269,general,1.0,1,300,0.027444566,4.118783,0.815938,<bos> | objects | a | in,250 | 155 | 119 | 44 | 45,general | safety | math | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (17.2%). Top tokens: <bos>, objects, a, in. Representative prompt ids: [250, 155, 119].",False
creative,4923,newly_activated,296.0,15.952257,bos_boundary,beginning-of-prompt / BOS gating,0.847,adapted,general,0.170373,general,0.77237,4,300,0.027171937,4.12179,0.839296,<bos> | ) | vote | ',232 | 287 | 263 | 44 | 45,creative | general | general | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (17.0%). Top tokens: <bos>, ), vote, '. Representative prompt ids: [232, 287, 263].",False
creative,13575,killed,299.0,15.951349,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,safety,0.169668,code,1.0,300,1,-0.027262814,-3.333561,0.942687,<bos> | brilliant,177 | 124 | 130 | 135 | 229,safety | math | math | math | creative,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.0%). Top tokens: <bos>, brilliant. Representative prompt ids: [177, 124, 130].",False
creative,2321,newly_activated,298.0,15.891806,bos_boundary,beginning-of-prompt / BOS gating,0.849,adapted,creative,0.169971,creative,0.507953,2,300,0.027171937,3.752103,0.870284,<bos> | for,205 | 127 | 222 | 276 | 295,creative | math | creative | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by creative prompts (17.0%). Top tokens: <bos>, for. Representative prompt ids: [205, 127, 222].",False
creative,15570,suppressed,8.591226,15.860529,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,medical,0.16681,math,0.545455,300,11,-0.026263177,-4.690482,0.808674,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
creative,14068,amplified,8.501821,15.859231,bos_boundary,beginning-of-prompt / BOS gating,0.849,adapted,medical,0.169545,code,0.703217,6,300,0.026808433,4.116328,0.840071,<bos> | of,85 | 44 | 45 | 47 | 101,medical | code | code | code | math,"Primary evidence comes from the adapted side; activation mass is dominated by medical prompts (17.0%). Top tokens: <bos>, of. Representative prompt ids: [85, 44, 45].",False
creative,4437,killed,299.0,15.801874,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,creative,0.169963,creative,1.0,300,1,-0.027262814,-3.459687,0.8715,<bos> | .,218 | 44 | 45 | 47 | 101,creative | code | code | code | math,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (17.0%). Top tokens: <bos>, .. Representative prompt ids: [218, 44, 45].",False
creative,14058,killed,296.0,15.800338,bos_boundary,beginning-of-prompt / BOS gating,0.846,base,general,0.170831,creative,0.539157,300,4,-0.027171937,-4.097168,0.788658,<bos> | world | col | specifically | nets,236 | 265 | 271 | 208 | 124,creative | general | general | creative | math,"Primary evidence comes from the base side; activation mass is dominated by general prompts (17.1%). Top tokens: <bos>, world, col, specifically, nets. Representative prompt ids: [236, 265, 271].",False
creative,11078,suppressed,11.112569,15.794519,creative_writing,creative-writing narrative language,0.724,base,general,0.245282,general,0.272659,258,235,-0.030716103,-8.155892,0.029203,the | of | a | to | in,295 | 298 | 276 | 289 | 294,general | general | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (24.5%). Top tokens: the, of, a, to, in. Representative prompt ids: [295, 298, 276].",False
creative,10158,killed,299.0,15.787198,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,code,0.170076,code,1.0,300,1,-0.027262814,-3.409329,0.873425,"<bos> | ,",46 | 40 | 48 | 105 | 112,code | code | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.0%). Top tokens: <bos>, ,. Representative prompt ids: [46, 40, 48].",False
creative,9570,suppressed,10.659699,15.782676,code_docstring_example,"Python docstrings, examples, and test-style scaffolding",0.769,base,code,0.395249,code,0.939718,300,8,-0.027171937,-9.29474,0.043823,<bos> | _,47 | 49 | 41 | 40 | 48,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (39.5%). Top tokens: <bos>, _. Representative prompt ids: [47, 49, 41].",True
creative,14385,killed,298.0,15.776904,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,code,0.166837,math,0.523242,300,2,-0.027081061,-3.183125,0.918474,<bos>,6 | 21 | 29 | 36 | 53,code | code | code | code | medical,"Primary evidence comes from the base side; activation mass is dominated by code prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [6, 21, 29].",False
creative,10003,amplified,9.717421,15.769792,bos_boundary,beginning-of-prompt / BOS gating,0.821,adapted,creative,0.237208,creative,0.368566,16,300,0.031443112,4.190443,0.375016,<bos> | . | auditory | of | pitch,205 | 160 | 235 | 136 | 234,creative | safety | creative | math | creative,"Primary evidence comes from the adapted side; activation mass is dominated by creative prompts (23.7%). Top tokens: <bos>, ., auditory, of, pitch. Representative prompt ids: [205, 160, 235].",False
creative,3277,newly_activated,298.0,15.767295,bos_boundary,beginning-of-prompt / BOS gating,0.844,adapted,code,0.174223,code,0.558028,2,300,0.027262814,4.674766,0.686523,<bos> | 8 | 4,48 | 146 | 13 | 14 | 15,code | math | code | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (17.4%). Top tokens: <bos>, 8, 4. Representative prompt ids: [48, 146, 13].",False
creative,14810,suppressed,8.593764,15.760995,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,code,0.173388,code,0.824349,300,5,-0.027081061,-4.17194,0.772301,<bos> | ': | B | left | space_boundary,46 | 41 | 113 | 43 | 107,code | code | math | code | math,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.3%). Top tokens: <bos>, ':, B, left, space_boundary. Representative prompt ids: [46, 41, 113].",False
creative,7582,killed,299.0,15.753335,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,medical,0.169296,medical,1.0,300,1,-0.027262814,-3.217962,0.88855,<bos> | ventricular,52 | 157 | 184 | 43 | 107,medical | safety | safety | code | math,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (16.9%). Top tokens: <bos>, ventricular. Representative prompt ids: [52, 157, 184].",False
creative,13861,killed,296.0,15.749958,bos_boundary,beginning-of-prompt / BOS gating,0.847,base,medical,0.171119,general,0.503679,300,4,-0.027171937,-3.700124,0.827122,<bos> | bicarbonate | oscopic | fragility,279 | 98 | 74 | 44 | 45,general | medical | medical | code | code,"Primary evidence comes from the base side; activation mass is dominated by medical prompts (17.1%). Top tokens: <bos>, bicarbonate, oscopic, fragility. Representative prompt ids: [279, 98, 74].",False
creative,12349,suppressed,9.15862,15.737416,bos_boundary,beginning-of-prompt / BOS gating,0.84,base,math,0.198328,math,0.528619,300,10,-0.029080334,-4.305429,0.56261,<bos> | 0 | min | fish | both,148 | 125 | 141 | 283 | 124,math | math | math | general | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (19.8%). Top tokens: <bos>, 0, min, fish, both. Representative prompt ids: [148, 125, 141].",False
creative,2911,killed,297.0,15.731651,bos_boundary,beginning-of-prompt / BOS gating,0.845,base,code,0.170037,code,0.551454,300,3,-0.027262814,-3.857272,0.789981,<bos> | returns | ( | have | ',11 | 299 | 232 | 177 | 43,code | general | creative | safety | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (17.0%). Top tokens: <bos>, returns, (, have, '. Representative prompt ids: [11, 299, 232].",False
creative,9726,amplified,10.624121,15.729098,general_legal_reasoning,legal / exam-style reasoning,0.769,adapted,general,0.395796,general,0.666934,45,300,0.034623773,4.42304,0.037409,<bos> | of | space_boundary | a | .,278 | 298 | 297 | 293 | 287,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (39.6%). Top tokens: <bos>, of, space_boundary, a, .. Representative prompt ids: [278, 298, 297].",False
creative,7973,suppressed,9.770908,15.725216,bos_boundary,beginning-of-prompt / BOS gating,0.838,base,general,0.202145,general,0.508211,300,19,-0.029807343,-5.374394,0.340071,<bos> | ballot | sprinkles | card | butter,287 | 283 | 218 | 40 | 291,general | general | creative | code | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (20.2%). Top tokens: <bos>, ballot, sprinkles, card, butter. Representative prompt ids: [287, 283, 218].",False
creative,1985,suppressed,10.354292,15.697142,code_function_definition,Python function definitions and implementation framing,0.729,base,creative,0.264496,creative,0.489175,300,35,-0.032988004,-4.796152,0.122176,<bos> | . | to | profiles | indentation,218 | 132 | 127 | 71 | 219,creative | math | math | medical | creative,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (26.4%). Top tokens: <bos>, ., to, profiles, indentation. Representative prompt ids: [218, 132, 127].",True
